Date,Calories (kcal),Distance (m),Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Meditating duration (ms)
2015-05-06,,4803.955078125,,,,51.03739929199219,3.7219126224517822,51.05585479736328,3.7489283084869385,2.2501254081726074,5.05593729019165,0.7071067690849304,5420,,,,1199406,72888208,1812410,,
2015-05-07,,2765.579833984375,,,,51.037410736083984,3.726233959197998,51.04960250854492,3.733020544052124,4.25,4.25,4.25,3102,,,,1388964,81368097,1378381,,
2015-05-08,,3205.30810546875,,,,51.00927734375,3.7308526039123535,51.04960250854492,3.7752890586853027,1.346291184425354,1.346291184425354,1.346291184425354,8078,,,,492216,71646968,2741748,,
2015-05-09,,635.0,,,,51.04697036743164,3.7267892360687256,51.049835205078125,3.7342381477355957,,,,5087,,,,,74925083,2644296,407297,
2015-05-10,,1305.0,,,,51.04359817504883,3.730503559112549,51.04995346069336,3.7335104942321777,2.4783434867858887,4.031128883361816,0.75,3371,,,,,84372423,694444,789409,
2015-05-11,,11222.18359375,,,,51.02004623413086,3.7250800132751465,51.04961395263672,3.7489871978759766,2.5,2.5,2.5,4661,,,,3710548,72844196,1552777,,
2015-05-12,892.9599609375,657.5247802734375,,,,50.87206268310547,3.579026222229004,51.049617767333984,3.748886823654175,,,,6008,,,,637498,69909454,1638125,,
2015-05-13,2521.267578125,9972.92578125,,,,50.85781478881836,3.725874900817871,51.049564361572266,4.700569152832031,27.716957092285156,31.25,1.0,5484,,,,3409624,69264252,2028440,219595,
2015-05-14,2599.494140625,15700.1044921875,,,,50.851112365722656,3.578563928604126,51.05086898803711,3.7489001750946045,,,,9932,,,,3509886,65377873,3777963,,
2015-05-15,2381.2939453125,6638.548828125,,,,50.8425178527832,3.568464994430542,51.0495719909668,3.7439444065093994,2.876021385192871,15.28275203704834,0.7071067690849304,10136,,,,1318577,64622764,4011625,,
2015-05-16,2231.151123046875,3285.710205078125,,,,50.91975021362305,3.723890781402588,51.05002212524414,4.039698123931885,2.6386659145355225,30.75,0.5,10928,,,,,60761033,4445498,,
2015-05-17,2302.4775390625,5253.18798828125,,,,51.04350662231445,3.7305331230163574,51.049808502197266,3.7336912155151367,2.3523313999176025,5.220153331756592,1.5,5324,,,,,83147554,894006,1530755,
2015-05-18,2293.088623046875,6640.68359375,,,,51.01848220825195,3.719197988510132,51.05217361450195,3.7488276958465576,1.7570810317993164,8.732124328613281,0.5,7533,,,,1862005,67565435,1947586,,
2015-05-19,2739.967529296875,12993.017578125,,,,51.01728820800781,3.726288318634033,51.04958724975586,3.748823404312134,5.871445178985596,10.644834518432617,1.0,6613,,,,5258797,68410935,2381350,217086,
2015-05-20,2136.9189453125,2571.8623046875,,,,51.039634704589844,3.7260382175445557,51.049835205078125,3.733743667602539,1.8633396625518799,5.147815227508545,0.5,4625,,,,513378,74603340,1610742,,
2015-05-21,2549.03955078125,14610.30859375,,,,51.01920700073242,3.7256083488464355,51.049903869628906,3.748807668685913,2.8095335960388184,7.017834186553955,1.0,7559,,,,3644164,71209651,2769201,,
2015-05-22,2661.806884765625,13183.78125,,,,50.8472900390625,3.5790982246398926,51.04987335205078,3.7488465309143066,4.881320953369141,7.75,1.0,11442,,,,2351030,70857562,6334500,78106,
2015-05-23,2123.47314453125,1522.3763427734375,,,,50.82393264770508,3.264521598815918,51.04960632324219,3.7499611377716064,21.75,21.75,21.75,3233,,,,,80666970,2058071,,
2015-05-24,2559.98046875,9447.0,,,,51.04434585571289,3.7322497367858887,51.050514221191406,3.7924423217773438,1.1756150722503662,5.706356048583984,0.5,7898,,,,865948,79425139,1806188,1822121,
2015-05-25,2176.10009765625,4294.74267578125,,,,51.03724670410156,3.7324862480163574,51.049591064453125,3.7488956451416016,2.41633939743042,3.605551242828369,0.75,2976,,,,992064,73182341,1476927,,
2015-05-26,2426.720947265625,10720.9765625,,,,51.01587677001953,3.7263851165771484,51.049861907958984,3.748929023742676,0.75,0.75,0.75,6394,83.0,83.0,83.0,3435165,70682352,2241425,,
2015-05-27,2380.082763671875,13269.287109375,,,,51.01604461669922,3.725876808166504,51.04963302612305,3.7408440113067627,2.62782883644104,4.75,0.75,7445,,,,3679339,69770106,3214362,,
2015-05-28,2566.7080078125,11699.384765625,,,,51.016334533691406,3.7260582447052,51.04960632324219,3.748850107192993,3.884799003601074,4.854122161865234,2.915475845336914,6088,,,,5770998,72087595,2460513,,
2015-05-29,2179.822998046875,10351.125,,,,50.85107421875,3.5786192417144775,51.049644470214844,3.7418270111083984,5.441685199737549,8.631338119506836,0.5,6310,,,,2078326,75570599,2939636,,
2015-05-30,2225.27392578125,6979.96826171875,,,,50.85114288330078,3.5777347087860107,51.049842834472656,3.73290753364563,6.51920223236084,6.51920223236084,6.51920223236084,9943,,,,957405,75645952,5501648,,
2015-05-31,2615.941162109375,12136.326171875,,,,51.040618896484375,3.732682466506958,51.05049133300781,3.793874502182007,2.0322160720825195,3.75,0.5,10258,,,,1118869,72326034,1954596,2972030,
2015-06-01,2250.55419921875,10531.1982421875,,,,51.016197204589844,3.7259511947631836,51.04967498779297,3.7408287525177,4.256529808044434,5.963430404663086,2.5495097637176514,4982,,,,2839724,67165410,2706717,,
2015-06-02,2354.09765625,12680.4638671875,,,,51.023162841796875,3.725555896759033,51.05001449584961,3.748795747756958,1.8862512111663818,1.9525624513626099,0.75,4202,,,,4050273,70960532,2204173,,
2015-06-03,2176.890380859375,9932.0615234375,,,,51.01738739013672,3.7259328365325928,51.049747467041016,3.7411117553710938,1.6450088024139404,3.0,0.5,2366,,,,2867436,80501573,1567200,,
2015-06-04,1943.7318115234375,4103.00634765625,,,,51.03739547729492,3.7321255207061768,51.04961395263672,3.7488150596618652,,,,4068,,,,1312043,71612057,727578,,
2015-06-05,2068.4921875,9774.583984375,,,,51.04066848754883,3.68430233001709,51.05577850341797,3.733614921569824,5.245455741882324,10.0,0.5,2979,,,,2136165,80753126,997014,85438,
2015-06-06,2519.67041015625,10843.8154296875,,,,51.03969192504883,3.7257208824157715,51.050514221191406,3.7835254669189453,3.2829413414001465,7.77817440032959,0.55901700258255,7661,,,,2098907,76564439,1787568,1698679,
2015-06-07,1954.065673828125,3382.313720703125,,,,51.04899978637695,3.7327353954315186,51.050697326660156,3.752476692199707,8.614524841308594,8.732124328613281,8.558621406555176,1719,,,,1198824,81826955,1071558,,
2015-06-08,1973.1956787109375,1372.1767578125,,,,51.04487609863281,3.7248544692993164,51.04996109008789,3.733607292175293,1.181731939315796,6.7082037925720215,0.5,3210,,,,465522,75340759,2590307,,
2015-06-09,1745.7498779296875,,,,,51.04892349243164,3.732614040374756,51.049739837646484,3.7333321571350098,1.386588215827942,3.0,0.75,1439,,,,,78886367,,,
2015-06-10,2242.73779296875,10117.5126953125,,,,51.03971481323242,3.7204995155334473,51.06656265258789,3.7673017978668213,3.4673447608947754,13.416407585144043,1.1180340051651,5640,,,,3194374,74193196,1993495,,
2015-06-11,2203.877685546875,6151.60791015625,,,,51.039669036865234,3.725832462310791,51.04969787597656,3.7335457801818848,0.6369257569313049,4.279310703277588,0.5,9007,,,,368309,74191018,1465005,1410889,
