Date,Meal,Name,Calories,Carbs,Fat,Protein,Cholesterol,Sodium,Sugars,Fibre
26-Jul-16,Dinner,"Everyday - Kippenborstfilets, 550 g",572,0,7,127,0,88,0,0
26-Jul-16,Dinner,"Sweet Potato - Plain, 550 grams",473,116,0,11,0,198,33,17
26-Jul-16,Dinner,"Pietro Coricelli - Extra Virgin Olive Oil (Olio Extra Vergine Di Oliva), 10 ml",82,0,9,0,0,0,0,0
26-Jul-16,Dinner,"Rice - With Rice, 150 g",540,113,3,11,0,0,0,0
26-Jul-16,Dinner,"Eggs - Fried (whole egg), 3 large",277,1,21,19,631,282,1,0
27-Jul-16,Breakfast,"Born 3 - Omega 3 Eggs, 6 Egg 50g",480,0,36,42,1440,420,0,0
27-Jul-16,Breakfast,"Bio - Banane, 100 g",92,21,0,1,0,1,0,2
27-Jul-16,Breakfast,"Generic - 1 Scrambled Egg White, 6 egg white",102,1,0,22,0,330,1,0
27-Jul-16,Breakfast,"Pietro Coricelli - Extra Virgin Olive Oil (Olio Extra Vergine Di Oliva), 15 ml",123,0,14,0,0,0,0,0
27-Jul-16,Breakfast,"Wok - Groenten, 200 gr",74,14,0,4,0,0,8,4
27-Jul-16,Snacks,"Dole - Banana-medium 6-6 7/8&quot;, 1 banana",105,29,0,1,0,1,15,3
27-Jul-16,Dinner,"Pietro Coricelli - Extra Virgin Olive Oil (Olio Extra Vergine Di Oliva), 20 ml",164,0,18,0,0,0,0,0
27-Jul-16,Dinner,"Rice - With Rice, 125 g",450,94,3,9,0,0,0,0
27-Jul-16,Dinner,"Boni - Roze Pacific Zalmporties, 350 gr",536,0,28,70,0,0,0,0
27-Jul-16,Dinner,"Okay - Dunne Lende, 360 g",407,0,7,76,0,180,0,0
28-Jul-16,Breakfast,"Bio - Banane, 100 g",92,21,0,1,0,1,0,2
28-Jul-16,Breakfast,"Born 3 - Omega 3 Eggs, 6 Egg 50g",480,0,36,42,1440,420,0,0
28-Jul-16,Breakfast,"Wok - Groenten, 200 gr",74,14,0,4,0,0,8,4
28-Jul-16,Breakfast,"Pietro Coricelli - Extra Virgin Olive Oil (Olio Extra Vergine Di Oliva), 10 ml",82,0,9,0,0,0,0,0
28-Jul-16,Lunch,"Lindt - 85% Cocoa Chocolate, 4 square (10 gram)",234,8,18,5,0,0,4,0
28-Jul-16,Lunch,"Delhaize - Salted Rice Cakes, 200 g",770,158,7,15,0,0,0,6
28-Jul-16,Lunch,"Fruit - Sinaasappel, 5 stuk (150 gram)",330,72,2,8,0,10,62,16
28-Jul-16,Dinner,"Albert Heijn - Kipfilet 500g, 550 gram",605,0,8,127,0,220,0,0
28-Jul-16,Dinner,"Sweet Potato - Plain, 380 grams",327,80,0,8,0,137,23,11
28-Jul-16,Dinner,"Pietro Coricelli - Extra Virgin Olive Oil (Olio Extra Vergine Di Oliva), 20 ml",164,0,18,0,0,0,0,0
28-Jul-16,Dinner,"Eggs - Fried (whole egg), 2 large",185,1,14,13,420,188,1,0
29-Jul-16,Breakfast,"Born 3 - Omega 3 Eggs, 8 Egg 50g",640,0,48,56,1920,560,0,0
29-Jul-16,Breakfast,"Pietro Coricelli - Extra Virgin Olive Oil (Olio Extra Vergine Di Oliva), 10 ml",82,0,9,0,0,0,0,0
29-Jul-16,Breakfast,"Appel - *, 125 g",68,15,0,1,0,3,15,3
29-Jul-16,Breakfast,"Sweet Potato - Plain, 300 grams",258,60,0,5,0,165,13,9
29-Jul-16,Lunch,"Delhaize - Salted Rice Cakes, 100 g",385,79,4,8,0,0,0,3
29-Jul-16,Dinner,"Eggs - Fried (whole egg), 3 large",277,1,21,19,631,282,1,0
