Start time,End time,Calories (kcal),Distance (m),Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Height (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Inactive duration (ms)
00:00:00.000+02:00,00:15:00.000+02:00,18.184894561767578,,,,,,,,,,,,,,,,,
00:15:00.000+02:00,00:30:00.000+02:00,18.184894561767578,,,,,,51.04811096191406,3.72306752204895,51.04811096191406,3.72306752204895,,,,,,,,
00:30:00.000+02:00,00:45:00.000+02:00,18.184894561767578,,,,,,51.04811096191406,3.722931385040283,51.04814529418945,3.7230122089385986,,,,,,,,
00:45:00.000+02:00,01:00:00.000+02:00,18.184894561767578,,,,,,51.04811096191406,3.7228844165802,51.04811096191406,3.7228844165802,,,,,,,,
01:00:00.000+02:00,01:15:00.000+02:00,18.184894561767578,,,,,,51.04810333251953,3.7228569984436035,51.04811477661133,3.723011016845703,,,,,,,,
01:15:00.000+02:00,01:30:00.000+02:00,18.184894561767578,,,,,,51.0480842590332,3.7228686809539795,51.04811096191406,3.7229363918304443,,,,,,,,
01:30:00.000+02:00,01:45:00.000+02:00,18.184894561767578,,,,,,51.04804611206055,3.7228991985321045,51.04810333251953,3.723115921020508,,,,,,,,
01:45:00.000+02:00,02:00:00.000+02:00,18.184894561767578,,,,,,51.04811096191406,3.722914934158325,51.04811096191406,3.722914934158325,,,,,,,,
02:00:00.000+02:00,02:15:00.000+02:00,18.184894561767578,,,,,,51.04811096191406,3.722999095916748,51.04811096191406,3.722999095916748,,,,,,,,
02:15:00.000+02:00,02:30:00.000+02:00,18.184894561767578,,,,,,51.04808044433594,3.7229366302490234,51.04811096191406,3.7230172157287598,,,,,,,,
02:30:00.000+02:00,02:45:00.000+02:00,18.184894561767578,,,,,,,,,,,,,,,,,
02:45:00.000+02:00,03:00:00.000+02:00,18.184894561767578,,,,,,51.048095703125,3.7228686809539795,51.048095703125,3.7228686809539795,0.75,0.75,0.75,,,,,
03:00:00.000+02:00,03:15:00.000+02:00,18.184894561767578,,,,,,51.04811096191406,3.7229995727539062,51.04811096191406,3.7229995727539062,,,,,,,,
03:15:00.000+02:00,03:30:00.000+02:00,18.184894561767578,,,,,,,,,,,,,,,,,
03:30:00.000+02:00,03:45:00.000+02:00,18.184894561767578,,,,,,51.04811096191406,3.7228548526763916,51.04814910888672,3.7230002880096436,,,,,,,,
03:45:00.000+02:00,04:00:00.000+02:00,18.184894561767578,,,,,,51.04810333251953,3.7230331897735596,51.04811096191406,3.723151445388794,,,,,,,,
04:00:00.000+02:00,04:15:00.000+02:00,18.184894561767578,,,,,,51.04810333251953,3.722886800765991,51.04810333251953,3.722886800765991,,,,,,,,
04:15:00.000+02:00,04:30:00.000+02:00,18.184894561767578,,,,,,51.0480842590332,3.722914695739746,51.04814529418945,3.7230172157287598,,,,,,,,
04:30:00.000+02:00,04:45:00.000+02:00,18.184894561767578,,,,,,51.04801559448242,3.7228660583496094,51.04811096191406,3.7230238914489746,2.5124688148498535,2.5124688148498535,2.5124688148498535,,,,,
04:45:00.000+02:00,05:00:00.000+02:00,18.184894561767578,,,,,,51.04811477661133,3.7229373455047607,51.04811477661133,3.7229373455047607,,,,,,,,
05:00:00.000+02:00,05:15:00.000+02:00,18.184894561767578,,,,,,,,,,,,,,,,,
05:15:00.000+02:00,05:30:00.000+02:00,18.184894561767578,,,,,,,,,,,,,,,,,
05:30:00.000+02:00,05:45:00.000+02:00,18.184894561767578,,,,,,,,,,,,,,,,,
05:45:00.000+02:00,06:00:00.000+02:00,18.184894561767578,,,,,,51.04811096191406,3.7230536937713623,51.04811096191406,3.7230536937713623,,,,,,,,
06:00:00.000+02:00,06:15:00.000+02:00,18.184894561767578,,,,,,51.04811096191406,3.7229483127593994,51.04811096191406,3.7229483127593994,,,,,,,,
06:15:00.000+02:00,06:30:00.000+02:00,18.184894561767578,,,,,,51.04811096191406,3.723022699356079,51.04811096191406,3.723022699356079,,,,,,,,
06:30:00.000+02:00,06:45:00.000+02:00,18.184894561767578,,,,,,51.04810333251953,3.7229316234588623,51.04811477661133,3.723074436187744,,,,,,,,
06:45:00.000+02:00,07:00:00.000+02:00,18.184894561767578,,,,,,51.04808807373047,3.722904682159424,51.04811096191406,3.7230069637298584,,,,,,,,
07:00:00.000+02:00,07:15:00.000+02:00,18.184894561767578,,,,,,51.04808044433594,3.7230076789855957,51.04811096191406,3.7230987548828125,,,,,,,,
07:15:00.000+02:00,07:30:00.000+02:00,18.184894561767578,,,,,,,,,,,,,,,,,
07:30:00.000+02:00,07:45:00.000+02:00,18.184894561767578,,,,,,,,,,,,,,,,,
07:45:00.000+02:00,08:00:00.000+02:00,18.184894561767578,,,,,,,,,,,,,,,,,
08:00:00.000+02:00,08:15:00.000+02:00,18.184894561767578,,,,,,51.048065185546875,3.7230429649353027,51.04812240600586,3.7231905460357666,,,,10,,,,
08:15:00.000+02:00,08:30:00.000+02:00,18.184894561767578,,,,,,51.04812240600586,3.7231216430664062,51.04812240600586,3.7231216430664062,,,,1,,,,
08:30:00.000+02:00,08:45:00.000+02:00,18.184894561767578,,,,,,51.048065185546875,3.722921133041382,51.048091888427734,3.7231762409210205,,,,61,,,,
08:45:00.000+02:00,09:00:00.000+02:00,18.184894561767578,,,,,,51.047794342041016,3.7229220867156982,51.04808807373047,3.723269462585449,1.1180340051651,1.1180340051651,1.1180340051651,,,,,
