Start time,End time,Calories (kcal),Distance (m),Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Inactive duration (ms)
00:00:00.000Z,00:15:00.000Z,18.184894561767578,,,,,51.04947280883789,3.7326629161834717,51.04949951171875,3.73283314704895,3.0,3.0,3.0,,,,,900000
00:15:00.000Z,00:30:00.000Z,18.184894561767578,,,,,51.04950714111328,3.732750654220581,51.04950714111328,3.732750654220581,,,,,,,,900000
00:30:00.000Z,00:45:00.000Z,18.184894561767578,,,,,51.04892349243164,3.7326552867889404,51.04951858520508,3.7328503131866455,,,,,,,,900000
00:45:00.000Z,01:00:00.000Z,18.184894561767578,,,,,51.0494499206543,3.732722282409668,51.0494499206543,3.732722282409668,,,,,,,,900000
01:00:00.000Z,01:15:00.000Z,18.184894561767578,,,,,51.04948043823242,3.7327404022216797,51.049495697021484,3.732842445373535,,,,,,,,900000
01:15:00.000Z,01:30:00.000Z,18.184894561767578,,,,,51.0490837097168,3.7328624725341797,51.049495697021484,3.733327865600586,1.5,1.5,1.5,,,,,900000
01:30:00.000Z,01:45:00.000Z,18.184894561767578,,,,,51.0494499206543,3.7327826023101807,51.04951477050781,3.7327880859375,,,,,,,,900000
01:45:00.000Z,02:00:00.000Z,18.184894561767578,,,,,51.0494499206543,3.7327215671539307,51.04950714111328,3.7333321571350098,,,,,,,,900000
02:00:00.000Z,02:15:00.000Z,18.184894561767578,,,,,51.0494384765625,3.7327513694763184,51.0494384765625,3.7327513694763184,,,,,,,,900000
02:15:00.000Z,02:30:00.000Z,18.184894561767578,,,,,51.049476623535156,3.73276424407959,51.04949951171875,3.73284912109375,,,,,,,,900000
02:30:00.000Z,02:45:00.000Z,18.184894561767578,,,,,51.04949188232422,3.7328319549560547,51.04949188232422,3.7328319549560547,,,,,,,,900000
02:45:00.000Z,03:00:00.000Z,18.184894561767578,,,,,,,,,,,,,,,,900000
03:00:00.000Z,03:15:00.000Z,18.184894561767578,,,,,51.049434661865234,3.7327356338500977,51.049468994140625,3.732801914215088,,,,,,,,900000
03:15:00.000Z,03:30:00.000Z,18.184894561767578,,,,,51.04945373535156,3.732614040374756,51.049556732177734,3.7328290939331055,,,,,,,,900000
03:30:00.000Z,03:45:00.000Z,18.184894561767578,,,,,51.049468994140625,3.732736825942993,51.049468994140625,3.732736825942993,,,,,,,,900000
03:45:00.000Z,04:00:00.000Z,18.184894561767578,,,,,51.04943084716797,3.7327961921691895,51.04949188232422,3.732841968536377,,,,,,,,900000
04:00:00.000Z,04:15:00.000Z,18.184894561767578,,,,,,,,,,,,,,,,900000
04:15:00.000Z,04:30:00.000Z,18.184894561767578,,,,,51.04945373535156,3.7328548431396484,51.04945373535156,3.7328548431396484,,,,,,,,900000
04:30:00.000Z,04:45:00.000Z,18.184894561767578,,,,,51.049476623535156,3.732754707336426,51.049476623535156,3.732754707336426,,,,,,,,900000
04:45:00.000Z,05:00:00.000Z,18.184894561767578,,,,,51.049434661865234,3.7327404022216797,51.04950714111328,3.7328295707702637,,,,,,,,900000
05:00:00.000Z,05:15:00.000Z,18.184894561767578,,,,,51.0494499206543,3.732778310775757,51.049503326416016,3.7328317165374756,,,,,,,,900000
05:15:00.000Z,05:30:00.000Z,18.184894561767578,,,,,51.04950714111328,3.7328426837921143,51.04950714111328,3.7328426837921143,,,,,,,,900000
05:30:00.000Z,05:45:00.000Z,18.184894561767578,,,,,51.049434661865234,3.7327756881713867,51.04948806762695,3.732809066772461,,,,,,,,900000
05:45:00.000Z,06:00:00.000Z,18.184894561767578,,,,,,,,,,,,,,,,900000
06:00:00.000Z,06:15:00.000Z,18.184894561767578,,,,,51.049495697021484,3.7326931953430176,51.04951858520508,3.7328553199768066,,,,,,,,900000
06:15:00.000Z,06:30:00.000Z,18.184894561767578,,,,,51.049476623535156,3.7327420711517334,51.04949951171875,3.7328033447265625,,,,,,,,900000
06:30:00.000Z,06:45:00.000Z,18.184894561767578,,,,,51.04951095581055,3.7327873706817627,51.04956817626953,3.7328665256500244,,,,,,,,900000
06:45:00.000Z,07:00:00.000Z,18.184894561767578,,,,,51.04944610595703,3.7327849864959717,51.04950714111328,3.732795476913452,,,,,,,,900000
07:00:00.000Z,07:15:00.000Z,18.184894561767578,,,,,51.04945373535156,3.732701301574707,51.049556732177734,3.732893943786621,,,,,,,,115665
07:15:00.000Z,07:30:00.000Z,18.184894561767578,,,,,51.04942321777344,3.7327587604522705,51.04957580566406,3.7329139709472656,,,,,,,,605219
07:30:00.000Z,07:45:00.000Z,18.184894561767578,,,,,51.04948806762695,3.732814073562622,51.049560546875,3.7329041957855225,,,,,,,,900000
07:45:00.000Z,08:00:00.000Z,18.184894561767578,,,,,51.049560546875,3.7328426837921143,51.049560546875,3.7328426837921143,,,,,,,,900000
08:00:00.000Z,08:15:00.000Z,18.184894561767578,,,,,51.04948043823242,3.732757329940796,51.04958724975586,3.7329256534576416,,,,1,,,,900000
08:15:00.000Z,08:30:00.000Z,18.184894561767578,,,,,51.04950714111328,3.732776403427124,51.049556732177734,3.732877016067505,,,,1,,,,900000
08:30:00.000Z,08:45:00.000Z,18.184894561767578,,,,,51.04947280883789,3.7328035831451416,51.04951858520508,3.7329022884368896,,,,0,,,,900000
08:45:00.000Z,09:00:00.000Z,18.184894561767578,,,,,51.04945755004883,3.7328672409057617,51.049522399902344,3.732877492904663,,,,,,,,900000
