Start time,End time,Calories (kcal),Distance (m),Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms)
10:45:00.000Z,11:00:00.000Z,20.25135040283203,9.912793159484863,,,,51.047630310058594,3.7289798259735107,51.04811096191406,3.731818914413452,,,,19,,,,,,30657
11:00:00.000Z,11:15:00.000Z,86.82131958007812,475.40277099609375,,,,51.0477294921875,3.7227776050567627,51.04811477661133,3.7230753898620605,,,,687,,,,172872,,727128
11:15:00.000Z,11:30:00.000Z,99.53782653808594,96.41192626953125,,,,51.04806137084961,3.72283673286438,51.0504264831543,3.723278522491455,,,,160,,,,664058,,88586
11:30:00.000Z,11:45:00.000Z,18.18489646911621,,,,,51.04806137084961,3.7230403423309326,51.04808044433594,3.723161458969116,,,,179,,,,,753227,
11:45:00.000Z,12:00:00.000Z,18.18489646911621,,,,,51.04808807373047,3.7229697704315186,51.04808807373047,3.723052740097046,,,,,,,,,900000,
12:00:00.000Z,12:15:00.000Z,18.18489646911621,,,,,51.04808807373047,3.722935438156128,51.048091888427734,3.7232701778411865,,,,83,,,,,900000,
12:15:00.000Z,12:30:00.000Z,18.18489646911621,,,,,51.0480842590332,3.7228598594665527,51.048091888427734,3.7230608463287354,,,,39,,,,,900000,
12:30:00.000Z,12:45:00.000Z,18.18489646911621,,,,,51.048072814941406,3.7229154109954834,51.04808807373047,3.7231056690216064,,,,,,,,,900000,
12:45:00.000Z,13:00:00.000Z,18.18489646911621,,,,,51.04808807373047,3.7230615615844727,51.04810333251953,3.723146915435791,,,,1,,,,,900000,
13:00:00.000Z,13:15:00.000Z,18.184894561767578,,,,,51.04807662963867,3.723074436187744,51.04810333251953,3.723186731338501,,,,280,,,,,540105,
13:15:00.000Z,13:30:00.000Z,48.144290924072266,445.6019287109375,,,,51.037437438964844,3.7240030765533447,51.04751205444336,3.7265610694885254,,,,652,,,,,267680,444464
13:30:00.000Z,13:45:00.000Z,18.184894561767578,,,,,51.03743362426758,3.726410388946533,51.03743362426758,3.726410388946533,,,,125,,,,,754164,
13:45:00.000Z,14:00:00.000Z,53.179527282714844,469.0480651855469,,,,51.03318786621094,3.729085683822632,51.03750991821289,3.7482120990753174,,,,787,,,,,,519165
14:00:00.000Z,14:15:00.000Z,36.0456428527832,149.30496215820312,,,,51.037391662597656,3.748215675354004,51.03750991821289,3.748943328857422,,,,363,,,,,378188,264974
14:15:00.000Z,14:30:00.000Z,18.184894561767578,,,,,,,,,,,,24,,,,,900000,
14:30:00.000Z,14:45:00.000Z,18.184894561767578,,,,,,,,,,,,,,,,,900000,
14:45:00.000Z,15:00:00.000Z,18.184894561767578,,,,,51.037410736083984,3.7481582164764404,51.03750991821289,3.7482059001922607,,,,166,,,,,784791,
15:00:00.000Z,15:15:00.000Z,18.18489646911621,,,,,,,,,,,,192,,,,,768347,
15:15:00.000Z,15:30:00.000Z,18.18489646911621,,,,,51.03749084472656,3.7481017112731934,51.03749084472656,3.7481017112731934,,,,420,,,,,,
15:30:00.000Z,15:45:00.000Z,18.184894561767578,,,,,51.03752136230469,3.7481179237365723,51.03756332397461,3.748263120651245,,,,218,,,,,563656,
15:45:00.000Z,16:00:00.000Z,26.16902732849121,94.8280258178711,,,,51.03748321533203,3.748197555541992,51.03748321533203,3.748197555541992,,,,334,,,,,480516,118449
16:00:00.000Z,16:15:00.000Z,18.18489646911621,,,,,51.03750991821289,3.7483344078063965,51.03750991821289,3.7483344078063965,,,,14,,,,,900000,
