Start time,End time,Calories (kcal),Distance (m),Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms)
10:15:00.000Z,10:30:00.000Z,18.39322853088379,,,,,50.87201690673828,3.5791146755218506,50.87209701538086,3.57922101020813,,,,89,,,,,900000,,
10:30:00.000Z,10:45:00.000Z,18.39322853088379,,,,,50.87201690673828,3.5791146755218506,50.87201690673828,3.5791146755218506,,,,42,,,,,900000,,
10:45:00.000Z,11:00:00.000Z,18.39322853088379,,,,,,,,,,,,,,,,,900000,,
11:00:00.000Z,11:15:00.000Z,18.39322853088379,,,,,,,,,,,,,,,,,900000,,
11:15:00.000Z,11:30:00.000Z,18.39322853088379,,,,,,,,,,,,,,,,,900000,,
11:30:00.000Z,11:45:00.000Z,18.39322853088379,,,,,50.87201690673828,3.5791146755218506,50.87201690673828,3.5791146755218506,,,,,,,,,900000,,
11:45:00.000Z,12:00:00.000Z,18.39322853088379,,,,,,,,,,,,,,,,,900000,,
12:00:00.000Z,12:15:00.000Z,18.39322853088379,,,,,,,,,,,,,,,,,900000,,
12:15:00.000Z,12:30:00.000Z,18.39322853088379,,,,,,,,,,,,,,,,,900000,,
12:30:00.000Z,12:45:00.000Z,18.39322853088379,,,,,50.87201690673828,3.5791146755218506,50.87201690673828,3.5791146755218506,,,,,,,,,900000,,
12:45:00.000Z,13:00:00.000Z,18.39322853088379,,,,,,,,,,,,,,,,,900000,,
13:00:00.000Z,13:15:00.000Z,18.39322853088379,,,,,50.87201690673828,3.5792105197906494,50.87201690673828,3.5792105197906494,,,,,,,,,900000,,
13:15:00.000Z,13:30:00.000Z,18.39322853088379,,,,,50.87201690673828,3.5791146755218506,50.87201690673828,3.5791146755218506,,,,,,,,,900000,,
13:30:00.000Z,13:45:00.000Z,18.39322853088379,,,,,,,,,,,,,,,,,900000,,
13:45:00.000Z,14:00:00.000Z,22.79334259033203,51.446163177490234,,,,50.87197494506836,3.5790717601776123,50.8720588684082,3.5792105197906494,,,,95,,,,,836492,63508,
14:00:00.000Z,14:15:00.000Z,33.83668518066406,78.63243103027344,,,,50.87201690673828,3.5790185928344727,50.87209701538086,3.57922101020813,,,,321,,,,,482253,,98588
14:15:00.000Z,14:30:00.000Z,75.90160369873047,3019.274169921875,,,,50.85150909423828,3.5791573524475098,50.872154235839844,3.600694179534912,,,,297,,,,644530,,141564,
14:30:00.000Z,14:45:00.000Z,24.6862735748291,7.583031177520752,,,,50.851051330566406,3.6017870903015137,50.9046516418457,3.652336597442627,,,,20,,,,,,90828,
14:45:00.000Z,15:00:00.000Z,18.39322853088379,,,,,50.921932220458984,3.6428914070129395,51.036415100097656,3.6889915466308594,,,,,,,,,,,
15:00:00.000Z,15:15:00.000Z,62.351280212402344,1834.47998046875,,,,51.035179138183594,3.710789203643799,51.03838348388672,3.731919050216675,,,,327,,,,437337,201631,167306,
15:15:00.000Z,15:30:00.000Z,18.393226623535156,,,,,51.0376091003418,3.7327566146850586,51.037742614746094,3.733078956604004,,,,86,,,,,154707,,
15:30:00.000Z,15:45:00.000Z,26.765403747558594,228.68341064453125,,,,51.037567138671875,3.732799768447876,51.037841796875,3.7331221103668213,,,,84,,,,113126,474124,,
15:45:00.000Z,16:00:00.000Z,78.43270874023438,1147.03955078125,,,,51.037471771240234,3.7461533546447754,51.03874588012695,3.748041868209839,,,,356,,,,498215,,334383,
16:00:00.000Z,16:15:00.000Z,24.37883186340332,46.45765686035156,,,,51.0374755859375,3.7460458278656006,51.038665771484375,3.7484309673309326,,,,366,,,,,314903,86391,
16:15:00.000Z,16:30:00.000Z,18.799034118652344,,,,,51.03734588623047,3.7477638721466064,51.03748321533203,3.747939348220825,,,,50,,,,,661599,5857,
16:30:00.000Z,16:45:00.000Z,26.91815948486328,67.83319091796875,,,,51.03746795654297,3.7477316856384277,51.037471771240234,3.7479662895202637,,,,103,,,,,137703,123041,
