Start time,End time,Calories (kcal),Distance (m),Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Height (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg)
13:30:00.000+01:00,13:45:00.000+01:00,,8.35686206817627,,,,,51.03769302368164,3.7479379177093506,51.03769302368164,3.7479379177093506,,,,181,,,
13:45:00.000+01:00,14:00:00.000+01:00,,4.188809394836426,,,,,,,,,,,,179,,,
14:00:00.000+01:00,14:15:00.000+01:00,,15.233600616455078,,,,,51.03763961791992,3.7478187084198,51.037689208984375,3.7479400634765625,,,,141,,,
14:15:00.000+01:00,14:30:00.000+01:00,,12.675174713134766,,,,,,,,,,,,184,,,
14:30:00.000+01:00,14:45:00.000+01:00,,358.1871032714844,,,,,51.037635803222656,3.7482709884643555,51.037715911865234,3.748443126678467,,,,453,,,
14:45:00.000+01:00,15:00:00.000+01:00,,1398.6922607421875,,,,,51.04170608520508,3.7328269481658936,51.0495491027832,3.740877866744995,,,,372,,,
15:00:00.000+01:00,15:15:00.000+01:00,,3.0887184143066406,,,,,,,,,,,,73,,,
15:15:00.000+01:00,15:30:00.000+01:00,,3.0887184143066406,,,,,,,,,,,,128,,,
15:30:00.000+01:00,15:45:00.000+01:00,,3.0887184143066406,,,,,,,,,,,,459,,,
15:45:00.000+01:00,16:00:00.000+01:00,,3.0887184143066406,,,,,,,,,,,,461,,,
16:00:00.000+01:00,16:15:00.000+01:00,,3.0887184143066406,,,,,,,,,,,,185,,,
16:15:00.000+01:00,16:30:00.000+01:00,,3.0887184143066406,,,,,,,,,,,,13,,,
16:30:00.000+01:00,16:45:00.000+01:00,,5.456975936889648,,,,,51.04949951171875,3.7331364154815674,51.04949951171875,3.7331364154815674,,,,49,,,
16:45:00.000+01:00,17:00:00.000+01:00,,972.4849853515625,,,,,,,,,0.75,0.75,0.75,874,,,
